Index,Category,SubCategory,Questions,Answers,rationale,Wrong
1,American Government,Principles of American Government,What is the form of government of the United States?,"Republic, Constitution-based federal republic, Representative democracy","Background: The United States operates under a system designed to prevent any single entity from gaining too much power.
Explanation: The US government is a republic, meaning citizens elect representatives. It's also a constitution-based federal republic, guided by a written constitution and sharing power between federal and state governments. Finally, it's a representative democracy, where people vote for individuals to make decisions on their behalf.","Monarchy, Communist dictatorship, Absolute monarchy
Direct democracy, Oligarchy, Theocracy
Parliamentary system, Socialism-based republic, Totalitarian state"
2,American Government,Principles of American Government,What is the supreme law of the land? *,(U.S.) Constitution,"The U.S. Constitution is the supreme law of the United States. It is the foundational document that establishes the framework for the federal government and guarantees the rights of its citizens. All other laws, whether local, state, or federal, must comply with the Constitution. It replaced the Articles of Confederation and was signed in Philadelphia by delegates of the Constitutional Convention in 1787.","(U.S.) Declaration
(U.S.) Congress
(U.S.) President"
3,American Government,Principles of American Government,Name one thing the U.S. Constitution does.,"Forms the government, Defines powers of government, Defines the parts of government, Protects the rights of the people","The U.S. Constitution is the supreme law of the United States. It establishes the framework for the federal government and guarantees the rights of its citizens.

Simplified answers:  - It creates the government's structure.
  - It outlines what the government can and cannot do.
  - It defines the different branches of government.
  - It protects individual freedoms and rights.","Elects the President, Declares war, Controls all state laws
Prints money, Appoints federal judges, Grants pardons
Builds roads, Establishes schools, Collects all taxes"
4,American Government,Principles of American Government,The U.S. Constitution starts with the words “We the People.” What does “We the People” mean?,"Self-government, Popular sovereignty, Consent of the governed, People should govern themselves, (Example of) social contract","""We the People"" represents the idea that the power of government comes from its citizens. This concept is fundamental to American democracy, meaning that the people themselves have the authority to govern, and government exists only with their permission.","Government oversight, Presidential decree, Judicial review, (Example of) legislative process
Executive power, Congressional authority, State sovereignty, People are governed by laws
Federal mandate, Constitutional amendment, Supreme Court ruling, (Example of) checks and balances"
5,American Government,Principles of American Government,How are changes made to the U.S. Constitution?,"Amendments, The amendment process","The U.S. Constitution can be changed through a formal amendment process. This involves a proposal by either a two-thirds vote of both the House of Representatives and the Senate or by a national convention called for by two-thirds of the state legislatures. Once proposed, an amendment must be ratified by three-fourths of the states, either through their legislatures or by conventions. This rigorous process was designed by the Founding Fathers to ensure that the Constitution is not easily altered.","Executive Orders, Presidential Decrees
Supreme Court Rulings, Judicial Review
Congressional Resolutions, Legislative Acts"
6,American Government,Principles of American Government,What does the Bill of Rights protect?,"(The basic) rights of Americans, (The basic) rights of people living in the United States","The Bill of Rights is the first ten amendments to the United States Constitution. It guarantees essential rights and civil liberties to individuals, protecting them from government overreach. The answer indicates that it safeguards the fundamental rights of all people residing in the United States.","(The basic) duties of citizens, (The basic) responsibilities of people living in the United States
(The basic) powers of the President, (The basic) powers of the government
(The basic) laws of the land, (The basic) rules for the military"
7,American Government,Principles of American Government,How many amendments does the U.S. Constitution have? *,Twenty-seven (27),"The U.S. Constitution currently has 27 amendments. These amendments are changes or additions to the original text of the Constitution, designed to adapt the government to changing times and values, while preserving its core principles. The first ten amendments are collectively known as the Bill of Rights, which guarantee fundamental individual liberties.","Twenty-one (21)
Thirty-three (33)
Sixteen (16)"
8,American Government,Principles of American Government,Why is the Declaration of Independence important?,"It says America is free from British control., It says all people are created equal., It identifies inherent rights., It identifies individual freedoms.","The Declaration of Independence is a foundational document for the United States. It proclaimed the American colonies' freedom from British rule, asserted that all people are created equal with inherent rights, and outlined individual freedoms that the new nation would protect.","It says America is a global superpower., It says all people have to pay taxes., It identifies governmental powers., It identifies collective responsibilities.
It says America discovered new lands., It says all people must serve in the military., It identifies economic advantages., It identifies national achievements.
It says America is the strongest nation., It says all people are protected from foreign attack., It identifies military strategies., It identifies national defense plans."
9,American Government,Principles of American Government,What founding document said the American colonies were free from Britain?,Declaration of Independence,"The Declaration of Independence is the founding document of the United States, adopted on July 4, 1776. It announced and explained the American colonies' separation from Great Britain, stating that they were free and independent. Its purpose was to rally the colonists, win foreign allies, and formally declare the creation of a new country after the American Revolutionary War began in April 1775.","Articles of Confederation
United States Constitution
Bill of Rights"
10,American Government,Principles of American Government,Name two important ideas from the Declaration of Independence and the U.S. Constitution.,"Equality, Liberty, Social contract, Natural rights, Limited government, Self-government","These ideas are fundamental to the Declaration of Independence and the U.S. Constitution, shaping the American system of government.  * Equality: All individuals are created equal and possess the same rights.
  * Liberty: Freedom from oppressive government and the right to make one's own choices.
  * Social contract: The idea that government's authority comes from the consent of the governed.
  * Natural rights: Rights inherent to all people, such as life, liberty, and property (or the pursuit of happiness).
  * Limited government: The government's power is restricted by law to protect individual liberties.
  * Self-government: The people rule themselves through elected representatives.","Communism, Dictatorship, Monarchy, Totalitarianism, Anarchy, Feudalism
Socialism, Oligarchy, Theocracy, Imperialism, Colonialism, Absolutism
Fascism, Authoritarianism, Populism, Despotism, Nazism, Aristocracy"
11,American Government,Principles of American Government,"The words “Life, Liberty, and the pursuit of Happiness” are in what founding document?",Declaration of Independence,"The Declaration of Independence is the founding document that states ""Life, Liberty, and the pursuit of Happiness"" as unalienable rights. It was adopted on July 4, 1776, announcing the 13 American colonies' separation from Great Britain. The colonies had been at war with Great Britain for over a year by the time the Declaration was adopted.","Articles of Confederation
Constitution of the United States
Bill of Rights"
12,American Government,Principles of American Government,What is the economic system of the United States? *,"Capitalism, Free market economy","The United States primarily operates under a capitalist, free-market economic system. In this system, individuals and businesses largely control the means of production and distribution, with prices and production determined by supply and demand, rather than by government control. The role of the government is generally to regulate the market, enforce contracts, and provide some public goods and services.","Socialism, Command economy
Communism, Planned economy
Feudalism, Barter system"
13,American Government,Principles of American Government,What is the rule of law?,"Everyone must follow the law., Leaders must obey the law., Government must obey the law., No one is above the law.","Background: The Rule of Law is a fundamental principle of American Government. It means that all people and institutions are subject to and accountable to law that is fairly applied and enforced.

Explanation: The Rule of Law ensures that everyone, including leaders and the government, must obey the laws. No one is above the law. This principle promotes fairness and prevents abuse of power.","Only some people must follow the law., Leaders are above the law., Government is above the law., Some people are above the law.
Laws only apply to citizens., The president can ignore laws., The government creates laws for others., Laws are suggestions.
The police enforce laws., Judges interpret laws., Lawyers represent clients., The public votes on laws."
14,American Government,Principles of American Government,Many documents influenced the U.S. Constitution. Name one.,"Declaration of Independence, Articles of Confederation, Federalist Papers, Anti-Federalist Papers, Virginia Declaration of Rights, Fundamental Orders of Connecticut, Mayflower Compact, Iroquois Great Law of Peace","The U.S. Constitution was influenced by several important historical documents. The Declaration of Independence declared the colonies' separation from Britain. The Articles of Confederation served as the first constitution of the U.S., establishing a ""firm league"" among the states. The Federalist Papers were essays written to persuade voters to support the new Constitution, while the Anti-Federalist Papers expressed fears about the new government's power. The Virginia Declaration of Rights was a foundational document that influenced the Declaration of Independence and the Bill of Rights. Other documents like the Fundamental Orders of Connecticut, Mayflower Compact, and Iroquois Great Law of Peace also contributed to the ideas of American self-governance.","Magna Carta, English Bill of Rights, Common Sense, Two Treatises of Government, Petition of Right, Articles of Confederation, Spirit of the Laws, The Social Contract
French Declaration of the Rights of Man, Communist Manifesto, On Liberty, The Prince, Utopia, Leviathan, The Republic, Das Kapital
Code of Hammurabi, Twelve Tables, Justinian Code, Napoleonic Code, Draconian Laws, Solonian Constitution, Lycurgan Reforms, The Edicts of Ashoka"
15,American Government,System of Government,There are three branches of government. Why?,"So one part does not become too powerful, Checks and balances, Separation of powers","The three branches of government (legislative, executive, and judicial) each have distinct powers to prevent any single branch from becoming too dominant. This system of checks and balances ensures a separation of powers, meaning each branch can limit the powers of the others, thereby maintaining a balanced government and protecting liberties.","To ensure fairness for all, To prevent abuse of power by any one branch, To protect individual liberties
To allow for quick decision-making, To simplify governmental processes, To centralize authority
To promote economic growth, To maintain social order, To protect national borders"
16,American Government,System of Government,Name the three branches of government.,"Legislative, executive, and judicial, Congress, president, and the courts","The three branches of government in the United States are designed to create a system of checks and balances, ensuring no single branch becomes too powerful.

Explanation of the Answer:  * Legislative Branch (Congress): Makes laws.
  * Executive Branch (President): Carries out and enforces laws.
  * Judicial Branch (Courts): Interprets laws and administers justice.","Economic, social, and cultural, business, people, and the states
Federal, state, and local, mayor, governor, and the country
Public, private, and civil, citizens, companies, and the cities"
17,American Government,System of Government,The President of the United States is in charge of which branch of government?,Executive branch,"The President of the United States leads the Executive branch, which is responsible for implementing and enforcing the laws written by Congress. This branch also includes the Vice President and various departments and agencies.","Legislative branch
Judicial branch
Congress"
