ID,DataName,zh,,
59,Correct_Answer_1,美洲印第安人,Người da đỏ châu Mỹ,美洲印第安人
59,Correct_Rationale_1,在欧洲殖民前数千年就生活在美洲的原住民族。,,
59,Correct_Answer_2,美洲原住民,Người Mỹ bản địa,美洲原住民
73,Correct_Answer_1,美国内战,,
73,Correct_Rationale_1,美国内战是北方和南方各州之间因奴隶制和州权等问题爆发的战争。,,
91,Correct_Answer_1,波多黎各,,
91,Correct_Rationale_1,波多黎各是美国在加勒比地区的未合并领土。,,
91,Correct_Answer_2,关岛,,
91,Correct_Rationale_2,关岛是美国在太平洋的领土。,,
91,Correct_Answer_3,美属维尔京群岛,,
91,Correct_Rationale_3,美属维尔京群岛是加勒比的一组岛屿和美国的领土。,,
91,Correct_Answer_4,美属萨摩亚,,
91,Correct_Rationale_4,美属萨摩亚是美国在南太平洋的领土。,,
91,Correct_Answer_5,北马里亚纳群岛,,
91,Correct_Rationale_5,北马里亚纳群岛是美国在太平洋的一个自治邦。,,
92,Correct_Answer_1,华盛顿州,,
92,Correct_Rationale_1,华盛顿州与加拿大不列颠哥伦比亚省接壤。,,
92,Correct_Answer_2,阿拉斯加州,,
92,Correct_Rationale_2,阿拉斯加州与加拿大的育空地区和不列颠哥伦比亚省接壤。,,
92,Correct_Answer_3,纽约州,,
92,Correct_Rationale_3,纽约州与加拿大的安大略省和魁北克省接壤。,,
92,Correct_Answer_4,蒙大拿州,,
92,Correct_Rationale_4,蒙大拿州与加拿大的不列颠哥伦比亚省、阿尔伯塔省和萨斯喀彻温省接壤。,,
93,Correct_Answer_1,加利福尼亚州,,
93,Correct_Rationale_1,加利福尼亚州南部与墨西哥接壤。,,
93,Correct_Answer_2,亚利桑那州,,
93,Correct_Rationale_2,亚利桑那州的南部有很长一段与墨西哥接壤。,,
93,Correct_Answer_3,新墨西哥州,,
93,Correct_Rationale_3,新墨西哥州南部与墨西哥接壤。,,
93,Correct_Answer_4,德克萨斯州,,
93,Correct_Rationale_4,德克萨斯州是美国与墨西哥接壤最长的州。,,
100,Correct_Answer_1,元旦,,
100,Correct_Rationale_1,1月1日庆祝新年的开始。,,
100,Correct_Answer_2,马丁·路德·金纪念日,,
100,Correct_Rationale_2,向民权领袖马丁·路德·金致敬。,,
100,Correct_Answer_3,总统日,,
100,Correct_Rationale_3,庆祝乔治·华盛顿和亚伯拉罕·林肯的生日。,,
100,Correct_Answer_4,阵亡将士纪念日,,
100,Correct_Rationale_4,缅怀在美国军队服役中牺牲的人。,,
100,Correct_Answer_5,独立日,,
100,Correct_Rationale_5,庆祝1776年通过《独立宣言》。,,
100,Correct_Answer_6,劳动节,,
100,Correct_Rationale_6,向美国工人和劳工运动致敬。,,
100,Correct_Answer_7,哥伦布日,,
100,Correct_Rationale_7,纪念哥伦布到达美洲。,,
100,Correct_Answer_8,老兵节,,
100,Correct_Rationale_8,向所有美国退伍军人致敬。,,
100,Correct_Answer_9,感恩节,,
100,Correct_Rationale_9,感谢过去一年的收成与祝福。,,
100,Correct_Answer_10,圣诞节,,
100,Correct_Rationale_10,庆祝耶稣基督的诞生，美国普遍庆祝此节日。,,
