Index,Category,SubCategory,Category_AR,SubCategory_AR,Question_EN,Answers_EN,Question_AR,Answers_AR
1,American Government,Principles of American Government,الحكومة األمریكیة,,What is the form of government of the United States?,"Republic, Constitution-based federal republic, Representative democracy",ما هو شكل أو نوع حكومة الواليات المتحدة؟,"جمهوري, جمهوري فيدرالي قائم على الدستور, ديمقراطي تمثيلي )نيابي("
2,American Government,Principles of American Government,الحكومة األمریكیة,,What is the supreme law of the land? *,(U.S.) Constitution,ما ھو القانون األعلى للبالد؟*,دستور الواليات المتحدة
3,American Government,Principles of American Government,الحكومة األمریكیة,,Name one thing the U.S. Constitution does.,"Forms the government, Defines powers of government, Defines the parts of government, Protects the rights of the people",َسمي شيء واحد يفعله دستور الواليات المتحدة.,"تشكيل الحكومة, تحديد سلطات الحكومة, تحديد أجزاء الحكومة, حماية حقوق الناس"
4,American Government,Principles of American Government,الحكومة األمریكیة,,The U.S. Constitution starts with the words “We the People.” What does “We the,,,
5,American Government,Principles of American Government,الحكومة األمریكیة,,How are changes made to the U.S. Constitution?,"Amendments, The amendment process",كيف يتم إجراء التغييرات على دستور الواليات المتحدة؟,"التعديالت, عملية إجراء التعديالت"
6,American Government,Principles of American Government,الحكومة األمریكیة,,What does the Bill of Rights protect?,"(The basic) rights of Americans, (The basic) rights of people living in the United States",ماذا تحمي وثيقة الحقوق؟,"الحقوق )األساسية( للأمریكیین, الحقوق )األساسية( للأشخاص (للأش یعیالذ في الولایفي الولايا"
7,American Government,Principles of American Government,الحكومة األمریكیة,,How many amendments does the U.S. Constitution have? *,Twenty-seven (27),كم هو عدد التعديالت التي يحتوي عليها دستور الواليات المتحدة؟*,سبعة وعشرون )٢٧(
8,American Government,Principles of American Government,الحكومة األمریكیة,,Why is the Declaration of Independence important?,"It says America is free from British control., It says all people are created equal., It identifies inherent rights., It identifies individual freedoms.",لماذا إعالن االستقالل مهم؟,"أعل َن إن أمريكا خالية من السيطرة البريطانية., أعل َن أن كافة الناس خلقوا متساوين., حدد الحقوق المتأصلة., مّيز الحريات الفردية"
9,American Government,Principles of American Government,الحكومة األمریكیة,,What founding document said the American colonies were free from Britain?,Declaration of Independence,ما الوثيقة التأسيسية التي ذكرت أن المستعمرات األمريكية كانت خالية من بريطانيا؟,اعالن االستقالل
10,American Government,Principles of American Government,الحكومة األمریكیة,,Name two important ideas from the Declaration of Independence and the U.S.,,,
12,American Government,Principles of American Government,الحكومة األمریكیة,,What is the economic system of the United States? *,"Capitalism, Free market economy",ما هو النظام االقتصادي للواليات المتحدة؟ *,"الرأسمالية, اقتصاد السوق الحر"
13,American Government,Principles of American Government,الحكومة األمریكیة,,What is the rule of law?,"Everyone must follow the law., Leaders must obey the law., Government must obey the law., No one is above the law.",ما هي سلطة القانون؟,"على الجميع اتباع القانون, على القادة االمتثال للقانون, على الحكومة إطاعة القانون, ال أحد فوق القانون"
14,American Government,Principles of American Government,الحكومة األمریكیة,,Many documents influenced the U.S. Constitution. Name one.,"Declaration of Independence, Articles of Confederation, Federalist Papers, Anti-Federalist Papers, Virginia Declaration of Rights, Fundamental Orders of Connecticut, Mayflower Compact, Iroquois Great Law of Peace",,
15,American Government,Principles of American Government,الحكومة األمریكیة,,There are three branches of government. Why?,"So one part does not become too powerful, Checks and balances, Separation of powers",لماذا توجد هناك ثالثة فروع للحكومة؟,"لكي ال يكون أحد الفروع ذو نفوذ اقوى, الضوابط والتوازنات, فصل السلطات"
16,American Government,System of Government,الحكومة األمریكیة,,Name the three branches of government.,,,
17,American Government,System of Government,الحكومة األمریكیة,,The President of the United States is in charge of which branch of government?,Executive branch,في أي سلطة أو فرع من فروع الحكومة يكون رئيس الواليات المتحدة هو المسؤول؟,الفرع التنفيذي
18,American Government,System of Government,الحكومة األمریكیة,,What part of the federal government writes laws?,"(U.S.) Congress, (U.S. or national) legislature, Legislative branch",تكتب القوانين؟,
