ID,DataName,vi,,
59,Correct_Answer_1,Người Mỹ bản địa,Người da đỏ châu Mỹ,美洲印第安人
59,Correct_Rationale_1,Những người bản địa đã sống ở Châu Mỹ hàng ngàn năm trước khi người châu Âu đến.,,
59,Correct_Answer_2,Người Mỹ bản địa,Người Mỹ bản địa,美洲原住民
73,Correct_Answer_1,cuộc Nội chiến Hoa Kỳ,,
73,Correct_Rationale_1,Cuộc Nội chiến Hoa Kỳ diễn ra giữa các bang miền Bắc và miền Nam về các vấn đề như chế độ nô lệ và quyền của các bang.,,
91,Correct_Answer_1,Puerto Rico,,
91,Correct_Rationale_1,Puerto Rico là một lãnh thổ chưa sáp nhập của Hoa Kỳ ở Caribe.,,
91,Correct_Answer_2,Guam,,
91,Correct_Rationale_2,Guam là một lãnh thổ của Hoa Kỳ ở Thái Bình Dương.,,
91,Correct_Answer_3,Quần đảo Virgin thuộc Mỹ,,
91,Correct_Rationale_3,Quần đảo Virgin thuộc Mỹ là một nhóm đảo ở Caribe và là lãnh thổ của Hoa Kỳ.,,
91,Correct_Answer_4,Samoa thuộc Mỹ,,
91,Correct_Rationale_4,Samoa thuộc Mỹ là một lãnh thổ của Hoa Kỳ ở Nam Thái Bình Dương.,,
91,Correct_Answer_5,Quần đảo Bắc Mariana,,
91,Correct_Rationale_5,Quần đảo Bắc Mariana là một cộng đồng chung của Hoa Kỳ ở Thái Bình Dương.,,
92,Correct_Answer_1,Washington,,
92,Correct_Rationale_1,Washington giáp tỉnh British Columbia của Canada.,,
92,Correct_Answer_2,Alaska,,
92,Correct_Rationale_2,Alaska giáp Yukon và British Columbia của Canada.,,
92,Correct_Answer_3,New York,,
92,Correct_Rationale_3,New York giáp các tỉnh Ontario và Quebec của Canada.,,
92,Correct_Answer_4,Montana,,
92,Correct_Rationale_4,"Montana giáp các tỉnh British Columbia, Alberta và Saskatchewan của Canada.",,
93,Correct_Answer_1,California,,
93,Correct_Rationale_1,California giáp biên giới phía nam với Mexico.,,
93,Correct_Answer_2,Arizona,,
93,Correct_Rationale_2,Arizona có một phần lớn biên giới phía nam giáp với Mexico.,,
93,Correct_Answer_3,New Mexico,,
93,Correct_Rationale_3,New Mexico giáp Mexico ở phía nam.,,
93,Correct_Answer_4,Texas,,
93,Correct_Rationale_4,Texas là bang có đường biên giới dài nhất với Mexico trong số các bang của Mỹ.,,
100,Correct_Answer_1,Ngày đầu năm mới,,
100,Correct_Rationale_1,Ăn mừng năm mới bắt đầu vào ngày 1 tháng 1.,,
100,Correct_Answer_2,"Ngày Martin Luther King, Jr.",,
100,Correct_Rationale_2,"Tưởng nhớ lãnh đạo dân quyền Martin Luther King, Jr.",,
100,Correct_Answer_3,Ngày Tổng thống,,
100,Correct_Rationale_3,Kỷ niệm sinh nhật của George Washington và Abraham Lincoln.,,
100,Correct_Answer_4,Ngày Tưởng niệm,,
100,Correct_Rationale_4,Tưởng niệm những người hy sinh khi phục vụ trong quân đội Hoa Kỳ.,,
100,Correct_Answer_5,Ngày Độc lập,,
100,Correct_Rationale_5,Kỷ niệm việc thông qua Tuyên ngôn Độc lập năm 1776.,,
100,Correct_Answer_6,Ngày Lao động,,
100,Correct_Rationale_6,Tôn vinh người lao động Mỹ và phong trào lao động.,,
100,Correct_Answer_7,Ngày Columbus,,
100,Correct_Rationale_7,Kỷ niệm Christopher Columbus đến Châu Mỹ.,,
100,Correct_Answer_8,Ngày Cựu chiến binh,,
100,Correct_Rationale_8,Tôn vinh tất cả các cựu chiến binh Hoa Kỳ.,,
100,Correct_Answer_9,Lễ Tạ ơn,,
100,Correct_Rationale_9,Ngày tạ ơn cho mùa màng và phúc lành năm qua.,,
100,Correct_Answer_10,Giáng Sinh,,
100,Correct_Rationale_10,Kỷ niệm ngày sinh của Chúa Giê-su và được tổ chức rộng rãi ở Mỹ.,,
