ID,DataName,tl,,
59,Correct_Answer_1,Mga Amerikanong Indian,Người da đỏ châu Mỹ,美洲印第安人
59,Correct_Rationale_1,Mga katutubong tao na nanirahan sa Amerika sa loob ng libu-libong taon bago dumating ang mga Europeo.,,
59,Correct_Answer_2,Mga Katutubong Amerikano,Người Mỹ bản địa,美洲原住民
73,Correct_Answer_1,ang Digmaang Sibil,,
73,Correct_Rationale_1,Ang Digmaang Sibil ay nilabanan sa pagitan ng mga estado sa Hilaga at Timog dahil sa mga isyung gaya ng pagka-alipin at karapatan ng estado.,,
91,Correct_Answer_1,Puerto Rico,,
91,Correct_Rationale_1,Ang Puerto Rico ay isang hindi inkorporadong teritoryo ng U.S. sa Caribbean.,,
91,Correct_Answer_2,Guam,,
91,Correct_Rationale_2,Ang Guam ay isang teritoryo ng U.S. sa Karagatang Pasipiko.,,
91,Correct_Answer_3,U.S. Virgin Islands,,
91,Correct_Rationale_3,Ang U.S. Virgin Islands ay isang pangkat ng mga isla sa Caribbean at isang teritoryo ng U.S.,,
91,Correct_Answer_4,American Samoa,,
91,Correct_Rationale_4,Ang American Samoa ay isang teritoryo ng U.S. sa Timog Pasipiko.,,
91,Correct_Answer_5,Northern Mariana Islands,,
91,Correct_Rationale_5,Ang Northern Mariana Islands ay isang commonwealth ng U.S. sa Karagatang Pasipiko.,,
92,Correct_Answer_1,Washington,,
92,Correct_Rationale_1,Ang Washington ay may hangganan sa lalawigan ng British Columbia sa Canada.,,
92,Correct_Answer_2,Alaska,,
92,Correct_Rationale_2,Ang Alaska ay may hangganan sa Yukon at British Columbia ng Canada.,,
92,Correct_Answer_3,New York,,
92,Correct_Rationale_3,Ang New York ay may hangganan sa mga lalawigan ng Ontario at Quebec sa Canada.,,
92,Correct_Answer_4,Montana,,
92,Correct_Rationale_4,"Ang Montana ay may mahabang hangganan sa mga lalawigan ng British Columbia, Alberta, at Saskatchewan sa Canada.",,
93,Correct_Answer_1,California,,
93,Correct_Rationale_1,Ang California ay may hangganan sa Mexico sa timog na bahagi nito.,,
93,Correct_Answer_2,Arizona,,
93,Correct_Rationale_2,Ang Arizona ay may malaking bahagi ng hangganan nito sa timog na tumatawid sa Mexico.,,
93,Correct_Answer_3,New Mexico,,
93,Correct_Rationale_3,Ang New Mexico ay may hangganan sa Mexico sa timog.,,
93,Correct_Answer_4,Texas,,
93,Correct_Rationale_4,Ang Texas ang may pinakamahabang hangganan sa Mexico sa lahat ng estado ng U.S.,,
100,Correct_Answer_1,Bagong Taon,,
100,Correct_Rationale_1,Ipinagdiriwang ang simula ng bagong taon tuwing Enero 1.,,
100,Correct_Answer_2,"Araw ni Martin Luther King, Jr.",,
100,Correct_Rationale_2,"Ginugunita ang pinuno ng karapatang sibil na si Martin Luther King, Jr.",,
100,Correct_Answer_3,Araw ng mga Pangulo,,
100,Correct_Rationale_3,Ipinagdiriwang ang kaarawan nina George Washington at Abraham Lincoln.,,
100,Correct_Answer_4,Araw ng mga Bayani,,
100,Correct_Rationale_4,Parangal sa mga namatay habang naglilingkod sa militar ng U.S.,,
100,Correct_Answer_5,Araw ng Kalayaan,,
100,Correct_Rationale_5,Ipinagdiriwang ang paglagda ng Deklarasyon ng Kalayaan noong 1776.,,
100,Correct_Answer_6,Araw ng Paggawa,,
100,Correct_Rationale_6,Ginugunita ang mga manggagawang Amerikano at kilusang paggawa.,,
100,Correct_Answer_7,Araw ni Columbus,,
100,Correct_Rationale_7,Ginugunita ang pagdating ni Christopher Columbus sa Amerika.,,
100,Correct_Answer_8,Araw ng mga Beterano,,
100,Correct_Rationale_8,Pagkilala sa lahat ng mga beteranong militar ng U.S.,,
100,Correct_Answer_9,Araw ng Pasasalamat,,
100,Correct_Rationale_9,Araw ng pasasalamat para sa ani at mga biyaya ng nakaraang taon.,,
100,Correct_Answer_10,Pasko,,
100,Correct_Rationale_10,Ipinagdiriwang ang kapanganakan ni Hesus at malawakang ipinagdiriwang sa U.S.,,
